Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
6,Normale,Plein jour,1,0,2,0,4,1,59,0,CANNES RUE DE,21.6,6,5
7,Normale,Plein jour,1,0,2,0,0,2,1,0,SCHUMAN (RUE DU PRESIDENT ROBERT),21.6,2,5
3,Normale,Plein jour,1,0,2,0,1,1,309,0,TOURCOING (RUE DE),21.6,3,5
3,Pluie légère,Crépuscule ou aube,1,0,2,0,1,2,1,0,BEAUREPAIRE (BOULEVARD),21.6,3,5
3,Pluie légère,Nuit avec éclairage public allumé,1,0,2,0,1,1,1,0,BONDUEL (CITE),21.6,3,5
3,Normale,Plein jour,1,0,2,0,1,2,1,0,FOSSE AUX CHENES  (AVENUE DE LA),21.6,3,5
6,Normale,Nuit avec éclairage public allumé,1,1,0,0,0,9,0,0,LANNOY RUE,100.0,1,5
6,Normale,Nuit avec éclairage public allumé,3,1,0,0,0,2,1,0,CD 700,100.0,1,5
6,Normale,Plein jour,1,1,0,0,0,2,1,0,CD 700,100.0,1,5
6,Normale,Nuit avec éclairage public allumé,3,1,0,0,0,1,21,0,GAND (RUE DE),100.0,1,5
3,Normale,Plein jour,1,1,0,0,1,9,0,0,SOLFERINO RUE N°208AFIN-161AFIN,100.0,2,5
6,Normale,Plein jour,1,1,0,0,0,0,,0,ROUTE NATIONALE 356,100.0,1,3
3,Pluie légère,Plein jour,1,0,1,1,0,2,1,0,GUINGUETTE (RUE DE LA),11.23,2,5
6,Normale,Plein jour,1,0,1,1,0,1,743,0,DUNKERQUE AVENUE DE,11.23,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,1,3,1,273,0,GRAND BUT RUE DU,11.23,5,5
6,Pluie forte,Plein jour,1,0,1,1,0,2,,0,LILLE (RUE DE),11.23,2,5
6,Normale,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A25,0.43,2,3
3,Temps couvert,Nuit avec éclairage public allumé,1,0,1,1,0,,,,,11.23,2,1
6,Normale,Plein jour,1,0,1,1,0,1,23,0,FRANCE ANATOLE RUE,11.23,2,5
3,Pluie légère,Plein jour,1,0,1,1,1,1,4641244,0,VICTOIRE (RUE DE LA ),11.23,3,5
3,Pluie légère,Crépuscule ou aube,1,0,1,2,0,9,,0,BARBUSSE HENRI RUE,11.66,3,5
3,Normale,Nuit avec éclairage public allumé,1,0,3,0,1,2,1,0,TOURCOING (RUE DE),32.4,4,5
3,Normale,Plein jour,1,0,0,1,2,9,0,0,PERENCHIES RUE DE,0.43,3,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,1,55,0,14 JUILLET AVENUE DU,0.43,1,5
6,Brouillard - fumée,Nuit avec éclairage public allumé,1,0,0,1,1,9,,0,QUESNOY RUE DE,0.43,2,5
3,Normale,Crépuscule ou aube,1,0,0,1,1,9,0,0,SAINTE HELENE PONT,0.43,2,5
6,Normale,Nuit sans éclairage public,1,0,0,1,2,0,,0,AUTOROUTE A22,0.43,3,3
6,Normale,Plein jour,1,0,0,1,4,1,1,0,DOREZ BARTHELEMY PLACE,0.43,5,5
6,Neige - grêle,Plein jour,1,0,0,1,1,1,7,0,RUBENS RUE,0.43,2,5
7,Pluie forte,Nuit sans éclairage public,3,0,0,1,0,0,,0,AUTOROUTE A22,0.43,1,3
6,Normale,Plein jour,1,0,0,1,1,1,0,0,CARNOT SADI RUE,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,1,2,0,NATIONALE RUE N°RESTE PAIRS,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,1,61,0,CANTELEU AVENUE DE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,1,37,0,MOULIN RUE DU,0.43,2,5
6,Normale,Plein jour,1,0,0,1,0,1,82,0,MATTEOTI RUE,0.43,1,5
6,Normale,Plein jour,1,0,0,1,1,1,35,0,VAN GOGH BOULEVARD,0.43,2,5
7,Normale,Plein jour,3,0,0,1,0,0,,0,AUTOROUTE A22,0.43,1,3
6,Normale,Plein jour,1,0,0,1,1,1,0,0,ALLIANCE NORD OUEST BVD DE L,0.43,2,5
