Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Hors intersection,8,Voie Communale,0,0,0,2,3,,,0,1,Partie rectiligne,,,414559,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,414651,59163,O,50.6740689994
Hors intersection,5,Voie Communale,0,0,0,1,2,,,0,1,Partie rectiligne,,,414677,59426,O,50.7533162393
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,414827,59512,O,50.6879774811
Intersection en T,5,Voie Communale,0,0,,1,1,,,0,2,En courbe à droite,,,414984,59508,O,50.747350697
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,414842,59512,O,50.6879774811
Hors intersection,8,Voie Communale,0,0,,profil,2,,,0,1,Partie rectiligne,,,438356,59350,O,50.6317183168
Giratoire,6,Route Départementale,0,0,,2,1,,,0,1,En courbe à droite,5069819,323241,438429,59650,O,50.7056367285
Hors intersection,1,Route Départementale,0,700,,3,4,3,100,0,2,En courbe à droite,5064993,320656,438431,59299,O,50.6548049456
Hors intersection,7,Route Nationale,0,0,0,2,2,,,0,1,Partie rectiligne,,,438145,59599,O,50.7254418902
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,438156,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,356,0,3,3,0,574,0,1,En courbe à droite,,,438175,59350,O,50.6317183168
Intersection en T,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,393597,59512,O,50.6879774811
Hors intersection,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,393604,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,393636,59350,O,50.6317183168
Giratoire,5,Route Départementale,0,0,,1,2,,,0,1,Partie rectiligne,,,393785,59279,O,50.7747480298
Hors intersection,1,Autoroute,0,25,0,3,3,1,300,0,1,Partie rectiligne,,,84154,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,41,0,3,4,11,0,0,1,Partie rectiligne,5058500,289100,393457,59250,O,50.5917277363
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,En courbe à gauche,,,393480,59343,O,50.5892285666
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,393508,59017,O,50.6913797537
Intersection en X,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,403647,59360,O,50.608350368
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,426045,59512,O,50.6879774811
Intersection en T,8,Voie Communale,0,0,,2,3,,,0,1,Partie rectiligne,,,86573,59350,O,50.6317183168
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,85972,59648,O,50.5864928159
Hors intersection,5,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,En courbe à gauche,,,85979,59636,O,50.6957054596
Intersection en Y,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86004,59527,O,50.6597692969
Hors intersection,1,Autoroute,0,22,,3,4,13,320,0,0,0,,,86035,59646,O,50.6750984751
Giratoire,1,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,86074,59350,O,50.6317183168
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,2,Partie rectiligne,,,86075,59507,O,50.6044738955
Hors intersection,1,Autoroute,0,22,,3,4,0,200,0,0,0,,,86086,59507,O,50.6044738955
Hors intersection,5,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,86197,59286,O,50.6044150332
Intersection en X,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86204,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86214,59009,O,50.6324372393
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86334,59386,O,50.67409511
Hors intersection,8,Voie Communale,Pont - autopont,0,,1,1,,,0,1,Partie rectiligne,,,86368,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86376,59009,O,50.6324372393
Hors intersection,1,Autoroute,Bretelle d’échangeur ou de raccordement,22,,1,1,18,0,0,0,0,,,86386,59090,O,50.7096656233
Hors intersection,6,Route Départementale,0,652,,2,2,,,0,1,Partie rectiligne,,,86483,59328,O,50.6522053005
Intersection en T,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86491,59527,O,50.6597692969
Intersection en T,8,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,86626,59350,O,50.6317183168
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86660,59367,O,50.6721775091
Hors intersection,1,Autoroute,0,1,0,3,6,209,300,0,1,Partie rectiligne,,,85182,59507,O,50.6044738955
Giratoire,4,Route Départementale,0,341,0,1,0,8,35,Piste cyclable,1,En courbe à gauche,0,0,85287,59278,O,50.6120409794
Intersection en T,3,Voie Communale,Bretelle d’échangeur ou de raccordement,0,0,1,0,,,0,1,En courbe à gauche,,,85352,59195,O,50.6262888459
Hors intersection,1,Autoroute,0,1,0,3,8,205,700,0,1,Partie rectiligne,,,85367,59220,O,50.593618421
Hors intersection,1,Autoroute,0,25,0,3,8,3,0,0,1,Partie rectiligne,,,85371,59350,O,50.6317183168
Intersection en X,7,Voie Communale,0,0,0,2,1,,,0,1,En courbe à gauche,,,85452,59599,O,50.7254418902
Hors intersection,5,autre,0,0,0,2,2,0,0,0,1,Partie rectiligne,5071600,300400,85542,59482,O,50.7129994523
